,RSI_Buy,RSI_Sell,MACD_Buy,MACD_Sell,ATR_Buy,ATR_Sell,Volume_Buy,Volume_Sell,Stoch_K_Buy,Stoch_K_Sell,Stoch_D_Buy,Stoch_D_Sell,Profit
RSI_Buy,1.0,0.3509508335438223,0.4646766640100537,0.22198316398822276,0.009548856817041465,0.013095258687820445,0.2079442613493893,0.1361321584975517,0.7113995432771139,0.1557992847945976,0.5517514449125636,0.14232642443958254,0.03770510988254347
RSI_Sell,0.3509508335438223,1.0,0.24330805476104103,0.23189744448806898,-0.04784079517514636,-0.07474106290922494,0.15011459634690427,0.15037439856123955,0.2422038928504496,0.5786685783946164,0.19236531132455767,0.5113652287009801,-0.011919821492419875
MACD_Buy,0.4646766640100537,0.24330805476104103,1.0,0.37461022228309143,0.010737578657798053,-0.08632905657566288,0.06752041990530697,0.06369280096336918,0.34799812867282154,0.181004067026925,0.337950298491676,0.15539869404936496,-0.05852588334288887
MACD_Sell,0.22198316398822276,0.23189744448806898,0.37461022228309143,1.0,0.6647733777100748,0.6666180725277849,0.08210260164841725,0.04902053870543917,0.18962377775013484,0.2486365069542409,0.14834260628110096,0.24711401467581226,0.7049672869191658
ATR_Buy,0.009548856817041465,-0.04784079517514636,0.010737578657798053,0.6647733777100748,1.0,0.9073762831853525,0.03143081968669786,-0.01727661089905318,0.026510367727547092,0.05833732894068,0.009928188831034631,0.06149833974829601,0.881370385659565
ATR_Sell,0.013095258687820445,-0.07474106290922494,-0.08632905657566288,0.6666180725277849,0.9073762831853525,1.0,0.056759833662943945,0.01021689183571197,0.03980591302828851,-0.0051933393417383416,0.013559292144782574,0.0008054452373983691,0.9143790243224711
Volume_Buy,0.2079442613493893,0.15011459634690427,0.06752041990530697,0.08210260164841725,0.03143081968669786,0.056759833662943945,1.0,0.8197877296327077,0.09890224977990543,0.025720886726755276,0.060046717296835354,0.03337380213581013,0.053631658495222057
Volume_Sell,0.1361321584975517,0.15037439856123955,0.06369280096336918,0.04902053870543917,-0.01727661089905318,0.01021689183571197,0.8197877296327077,1.0,0.054388513748668633,-0.028877748975263406,0.051210447180722825,-0.017929164122024985,0.010816914782055655
Stoch_K_Buy,0.7113995432771139,0.2422038928504496,0.34799812867282154,0.18962377775013484,0.026510367727547092,0.03980591302828851,0.09890224977990543,0.054388513748668633,1.0,0.15130656583712807,0.9052706491053577,0.16128703919024343,0.04029900959025412
Stoch_K_Sell,0.1557992847945976,0.5786685783946164,0.181004067026925,0.2486365069542409,0.05833732894068,-0.0051933393417383416,0.025720886726755276,-0.028877748975263406,0.15130656583712807,1.0,0.10496965164445661,0.9192828228790606,0.03791071425633299
Stoch_D_Buy,0.5517514449125636,0.19236531132455767,0.337950298491676,0.14834260628110096,0.009928188831034631,0.013559292144782574,0.060046717296835354,0.051210447180722825,0.9052706491053577,0.10496965164445661,1.0,0.13459149461887848,0.005062936544761137
Stoch_D_Sell,0.14232642443958254,0.5113652287009801,0.15539869404936496,0.24711401467581226,0.06149833974829601,0.0008054452373983691,0.03337380213581013,-0.017929164122024985,0.16128703919024343,0.9192828228790606,0.13459149461887848,1.0,0.05452694219748711
Profit,0.03770510988254347,-0.011919821492419875,-0.05852588334288887,0.7049672869191658,0.881370385659565,0.9143790243224711,0.053631658495222057,0.010816914782055655,0.04029900959025412,0.03791071425633299,0.005062936544761137,0.05452694219748711,1.0
